date,home_team,away_team,home_goals,away_goals
2021-12-04,Roma,Internazionale,0.0,3.0
2021-12-04,Napoli,Atalanta,2.0,3.0
2021-12-05,Bologna,Fiorentina,2.0,3.0
2021-12-05,Spezia,Sassuolo,2.0,2.0
2021-12-05,Sampdoria,Lazio,1.0,3.0
2021-12-05,Juventus,Genoa,2.0,0.0
2021-12-05,Venezia,Hellas Verona,3.0,4.0
2021-12-06,Empoli,Udinese,3.0,1.0
2021-12-06,Cagliari,Torino,1.0,1.0
2021-12-10,Genoa,Sampdoria,1.0,3.0
2021-12-11,Venezia,Juventus,1.0,1.0
2021-12-11,Fiorentina,Salernitana,4.0,0.0
2021-12-11,Udinese,Milan,1.0,1.0
2021-12-12,Napoli,Empoli,0.0,1.0
2021-12-12,Hellas Verona,Atalanta,1.0,2.0
2021-12-12,Torino,Bologna,2.0,1.0
2021-12-12,Sassuolo,Lazio,2.0,1.0
2021-12-13,Roma,Spezia,2.0,0.0
2021-12-17,Salernitana,Internazionale,0.0,5.0
2021-12-17,Lazio,Genoa,3.0,1.0
2021-12-18,Cagliari,Udinese,0.0,4.0
2021-12-18,Atalanta,Roma,1.0,4.0
2021-12-18,Bologna,Juventus,0.0,2.0
2021-12-19,Torino,Hellas Verona,1.0,0.0
2021-12-19,Spezia,Empoli,1.0,1.0
2021-12-19,Fiorentina,Sassuolo,2.0,2.0
2021-12-19,Milan,Napoli,0.0,1.0
2021-12-19,Sampdoria,Venezia,1.0,1.0
2021-12-21,Juventus,Cagliari,2.0,0.0
2021-12-21,Genoa,Atalanta,0.0,0.0
2021-12-22,Roma,Sampdoria,1.0,1.0
